"Description", "Name", "Attribute", "Value",
"Unknown format", "Unknown", "", "0x0000",
"Microsoft PCM Format", "LinearPcm", "FixedBitDepth", "0x0001",
"Microsoft ADPCM Format", "MsAdpcm", "", "0x0002",
"IEEE 754 Single Precision Floating-Point Number", "IeeeFloat", "", "0x0003",
"Vector sum excited linear prediction Compaq Computer Corporation", "Vselp", "", "0x0004",
"IBM Corporation", "IbmCvsd", "", "0x0005",
"A-law format by Microsoft Corporation", "Alaw", "", "0x0006",
"μ-law format by Microsoft Corporation", "Mulaw", "", "0x0007",
"OKI ADPCM", "OkiAdpcm", "", "0x0010",
"Intel Corporation ADPCM", "ImaAdpcm", "", "0x0011",
"Videologic ADPCM", "MediaspaceAdpcm", "", "0x0012",
"Sierra Semiconductor Corp", "SierraAdpcm", "", "0x0013",
"Antex Electronics Corporation", "G723Adpcm", "", "0x0014",
"DSP Solutions, Inc.", "Digistd", "", "0x0015",
"DSP Solutions, Inc.", "Digifix", "", "0x0016",
"Dialogic Corporation", "DialogicOkiAdpcm", "", "0x0017",
"Media Vision, Inc.", "MediavisionAdpcm", "", "0x0018",
"Hewlett-Packard Company", "CuCodec", "", "0x0019",
"Yamaha Corporation of America", "YamahaAdpcm", "", "0x0020",
"Speech Compression", "Sonarc", "", "0x0021",
"DSP Group, Inc", "DspgroupTruespeech", "", "0x0022",
"Echo Speech Corporation", "Echosc1", "", "0x0023",
"Audiofile, Inc.", "AudiofileAf36", "", "0x0024",
"Audio Processing Technology", "Aptx", "", "0x0025",
"Audiofile, Inc.", "AudiofileAf10", "", "0x0026",
"Aculab plc", "Prosody1612", "", "0x0027",
"Merging Technologies S.A.", "Lrc", "", "0x0028",
"Dolby Laboratories", "DolbyAc2", "", "0x0030",
"Microsoft Corporation", "Gsm610", "", "0x0031",
"Microsoft Corporation", "Msnaudio", "", "0x0032",
"Antex Electronics Corporation", "AntexAdpcme", "", "0x0033",
"Control Resources Limited", "ControlResVqlpc", "", "0x0034",
"DSP Solutions, Inc.", "Digireal", "", "0x0035",
"DSP Solutions, Inc.", "Digiadpcm", "", "0x0036",
"Control Resources Limited", "ControlResCr10", "", "0x0037",
"Natural MicroSystems", "NmsVbxadpcm", "", "0x0038",
"Roland", "RolandRdac", "", "0x0039",
"Echo Speech Corporation", "Echosc3", "", "0x003A",
"Rockwell International", "RockwellAdpcm", "", "0x003B",
"Rockwell International", "RockwellDigitalk", "", "0x003C",
"Xebec Multimedia Solutions Limited", "Xebec", "", "0x003D",
"Antex Electronics Corporation", "G721Adpcm", "", "0x0040",
"Antex Electronics Corporation", "G728Celp", "", "0x0041",
"Microsoft Corporation", "Msg723", "", "0x0042",
"Microsoft Corporation", "Mpeg", "", "0x0050",
"InSoft Inc.", "Rt24", "", "0x0052",
"InSoft Inc.", "Pac", "", "0x0053",
"MPEG 3 Layer 1", "Mpeglayer3", "", "0x0055",
"Lucent Technologies", "LucentG723", "", "0x0059",
"Cirrus Logic", "Cirrus", "", "0x0060",
"ESS Technology", "Espcm", "", "0x0061",
"Voxware Inc", "Voxware", "", "0x0062",
"Canopus, Co., Ltd.", "CanopusAtrac", "", "0x0063",
"APICOM", "G726Adpcm", "", "0x0064",
"APICOM", "G722Adpcm", "", "0x0065",
"Microsoft Corporation", "Dsat", "", "0x0066",
"Microsoft Corporation", "DsatDisplay", "", "0x0067",
"Voxware Inc.", "VoxwareByteAligned", "", "0x0069",
"Voxware Inc.", "VoxwareAc8", "", "0x0070",
"Voxware Inc.", "VoxwareAc10", "", "0x0071",
"Voxware Inc.", "VoxwareAc16", "", "0x0072",
"Voxware Inc.", "VoxwareAc20", "", "0x0073",
"Voxware Inc.", "VoxwareRt24", "", "0x0074",
"Voxware Inc.", "VoxwareRt29", "", "0x0075",
"Voxware Inc.", "VoxwareRt29hw", "", "0x0076",
"Voxware Inc.", "VoxwareVr12", "", "0x0077",
"Voxware Inc.", "VoxwareVr18", "", "0x0078",
"Voxware Inc.", "VoxwareTq40", "", "0x0079",
"Softsound, Ltd.", "Softsound", "", "0x0080",
"Voxware Inc.", "VoxareTq60", "", "0x0081",
"Microsoft Corporation", "Msrt24", "", "0x0082",
"AT&amp;T Laboratories", "G729a", "", "0x0083",
"Motion Pixels", "MviMv12", "", "0x0084",
"DataFusion Systems (Pty) (Ltd)", "DfG726", "", "0x0085",
"DataFusion Systems (Pty) (Ltd)", "DfGsm610", "", "0x0086",
"OnLive! Technologies, Inc.", "Onlive", "", "0x0089",
"Siemens Business Communications Systems", "Sbc24", "", "0x0091",
"Sonic Foundry", "DolbyAc3Spdif", "", "0x0092",
"ZyXEL Communications, Inc.", "ZyxelAdpcm", "", "0x0097",
"Philips Speech Processing", "PhilipsLpcbb", "", "0x0098",
"Studer Professional Audio AG", "Packed", "", "0x0099",
"Rhetorex, Inc.", "RhetorexAdpcm", "", "0x0100",
"IBM mu-law format", "IbmMulaw", "", "0x0101",
"IBM a-law format", "IbmAlaw", "", "0x0102",
"IBM AVC Adaptive Differential PCM format", "Adpcm", "", "0x0103",
"Vivo Software", "VivoG723", "", "0x0111",
"Vivo Software", "VivoSiren", "", "0x0112",
"Digital Equipment Corporation", "DigitalG723", "", "0x0123",
